scenario,tz_name,daio,year,flights
Actual,France,O,2012,1406528
Actual,France,T,2012,2923248
Actual,Georgia,AD,2012,20336
Actual,Georgia,I,2012,1209
Actual,Georgia,O,2012,86417
Actual,Georgia,T,2012,107962
Actual,Germany,AD,2012,1558934
Actual,Germany,I,2012,357767
Actual,Germany,O,2012,1100869
Actual,Germany,T,2012,3017570
Actual,Greece,AD,2012,214822
Actual,Greece,I,2012,98859
Actual,Greece,O,2012,319328
Actual,Greece,T,2012,633009
Actual,Hungary,AD,2012,92137
Actual,Hungary,I,2012,340
Actual,Hungary,O,2012,496758
Actual,Hungary,T,2012,589235
Actual,Iceland,AD,2012,30262
Actual,Iceland,I,2012,15130
Actual,Iceland,O,2012,77215
Actual,Iceland,T,2012,122607
Actual,Ireland,AD,2012,213340
Actual,Ireland,I,2012,6368
Actual,Ireland,O,2012,301293
Actual,Ireland,T,2012,521001
Actual,Israel,AD,2012,87489
Actual,Israel,I,2012,1134
Actual,Israel,O,2012,12536
Actual,Israel,T,2012,101159
Actual,Italy,AD,2012,829562
Actual,Italy,I,2012,339234
Actual,Italy,O,2012,516420
Actual,Italy,T,2012,1685216
Actual,Latvia,AD,2012,68217
Actual,Latvia,I,2012,296
Actual,Latvia,O,2012,164483
Actual,Latvia,T,2012,232996
Actual,Lithuania,AD,2012,40472
Actual,Lithuania,I,2012,1158
Actual,Lithuania,O,2012,194113
Actual,Lithuania,T,2012,235743
Actual,Malta,AD,2012,32944
Actual,Malta,I,2012,85
Actual,Malta,O,2012,63652
Actual,Malta,T,2012,96681
Actual,Moldova,AD,2012,15726
Actual,Moldova,I,2012,68
Actual,Moldova,O,2012,48080
Actual,Moldova,T,2012,63874
Actual,Morocco,AD,2012,116690
Actual,Morocco,I,2012,17954
Actual,Morocco,O,2012,188913
Actual,Morocco,T,2012,323557
Actual,NEFAB,AD,2012,428428
Actual,NEFAB,I,2012,398957
Actual,NEFAB,O,2012,173425
Actual,NEFAB,T,2012,1000810
Actual,Netherlands,AD,2012,499147
Actual,Netherlands,I,2012,24789
Actual,Netherlands,O,2012,559378
Actual,Netherlands,T,2012,1083314
Actual,North Macedonia,AD,2012,10795
Actual,North Macedonia,I,2012,104
Actual,North Macedonia,O,2012,101654
Actual,North Macedonia,T,2012,112553
Actual,Norway-Continental,AD,2012,234105
Actual,Norway-Continental,I,2012,306017
Actual,Norway-Continental,O,2012,46854
Actual,Norway-Continental,T,2012,586976
Actual,Poland,AD,2012,229512
Actual,Poland,I,2012,52262
Actual,Poland,O,2012,402676
Actual,Poland,T,2012,684450
Actual,Portugal-Continental,AD,2012,221063
Actual,Portugal-Continental,I,2012,25306
Actual,Portugal-Continental,O,2012,191607
Actual,Portugal-Continental,T,2012,437976
Actual,Portugal-SantaMaria,AD,2012,11418
Actual,Portugal-SantaMaria,I,2012,12241
Actual,Portugal-SantaMaria,O,2012,94430
Actual,Portugal-SantaMaria,T,2012,118089
Actual,Romania,AD,2012,110323
Actual,Romania,I,2012,19162
Actual,Romania,O,2012,357771
Actual,Romania,T,2012,487256
Actual,SES-RP2,AD,2012,2007507
Actual,SES-RP2,I,2012,6857335
Actual,SES-RP2,O,2012,222140
Actual,SES-RP2,T,2012,9086982
Actual,Serbia/Montenegro,AD,2012,68561
Actual,Serbia/Montenegro,I,2012,8007
