scenario,tz_name,daio,year,flights
Actual,Slovakia,AD,2011,27292
Actual,Slovakia,I,2011,3272
Actual,Slovakia,O,2011,351269
Actual,Slovakia,T,2011,381833
Actual,Slovenia,AD,2011,33705
Actual,Slovenia,I,2011,1028
Actual,Slovenia,O,2011,318056
Actual,Slovenia,T,2011,352789
Actual,South West FAB,AD,2011,1123243
Actual,South West FAB,I,2011,541915
Actual,South West FAB,O,2011,157883
Actual,South West FAB,T,2011,1823041
Actual,Spain-Canaries,AD,2011,177333
Actual,Spain-Canaries,I,2011,81589
Actual,Spain-Canaries,O,2011,38638
Actual,Spain-Canaries,T,2011,297560
Actual,Spain-Continental,AD,2011,915649
Actual,Spain-Continental,I,2011,335860
Actual,Spain-Continental,O,2011,413851
Actual,Spain-Continental,T,2011,1665360
Actual,Sweden,AD,2011,256763
Actual,Sweden,I,2011,154829
Actual,Sweden,O,2011,312763
Actual,Sweden,T,2011,724355
Actual,Switzerland,AD,2011,457098
Actual,Switzerland,I,2011,22472
Actual,Switzerland,O,2011,582993
Actual,Switzerland,T,2011,1062563
Actual,Türkiye,AD,2011,447462
Actual,Türkiye,I,2011,265299
Actual,Türkiye,O,2011,325897
Actual,Türkiye,T,2011,1038658
Actual,UK-Continental,AD,2011,1480273
Actual,UK-Continental,I,2011,414670
Actual,UK-Continental,O,2011,346351
Actual,UK-Continental,T,2011,2241294
Actual,UK-Ireland FAB,AD,2011,1482936
Actual,UK-Ireland FAB,I,2011,529403
Actual,UK-Ireland FAB,O,2011,259981
Actual,UK-Ireland FAB,T,2011,2272320
Actual,Ukraine,AD,2011,135390
Actual,Ukraine,I,2011,33624
Actual,Ukraine,O,2011,284063
Actual,Ukraine,T,2011,453077
Actual,NM Area,AD,2012,1757384
Actual,NM Area,I,2012,7801698
Actual,NM Area,O,2012,114152
Actual,NM Area,T,2012,9673234
Actual,Albania,AD,2012,20537
Actual,Albania,I,2012,2
Actual,Albania,O,2012,174555
Actual,Albania,T,2012,195094
Actual,Armenia,AD,2012,21696
Actual,Armenia,I,2012,13
Actual,Armenia,O,2012,34301
Actual,Armenia,T,2012,56010
Actual,Austria,AD,2012,312087
Actual,Austria,I,2012,23697
Actual,Austria,O,2012,797371
Actual,Austria,T,2012,1133155
Actual,Azerbaijan,AD,2012,42263
Actual,Azerbaijan,I,2012,5046
Actual,Azerbaijan,O,2012,83001
Actual,Azerbaijan,T,2012,130310
Actual,BLUE MED FAB,AD,2012,1058989
Actual,BLUE MED FAB,I,2012,479958
Actual,BLUE MED FAB,O,2012,672822
Actual,BLUE MED FAB,T,2012,2211769
Actual,Baltic FAB,AD,2012,264451
Actual,Baltic FAB,I,2012,56195
Actual,Baltic FAB,O,2012,447798
Actual,Baltic FAB,T,2012,768444
Actual,Belgium/Luxembourg,AD,2012,366613
Actual,Belgium/Luxembourg,I,2012,7477
Actual,Belgium/Luxembourg,O,2012,715232
Actual,Belgium/Luxembourg,T,2012,1089322
Actual,Bosnia and Herzegovina,AD,2012,11530
Actual,Bosnia and Herzegovina,I,2012,438
Actual,Bosnia and Herzegovina,O,2012,256487
Actual,Bosnia and Herzegovina,T,2012,268455
Actual,Bulgaria,AD,2012,64328
Actual,Bulgaria,I,2012,4995
Actual,Bulgaria,O,2012,470787
Actual,Bulgaria,T,2012,540110
Actual,Croatia,AD,2012,64626
Actual,Croatia,I,2012,8757
Actual,Croatia,O,2012,422033
Actual,Croatia,T,2012,495416
Actual,Cyprus,AD,2012,62694
Actual,Cyprus,I,2012,821
Actual,Cyprus,O,2012,206243
Actual,Cyprus,T,2012,269758
Actual,Czech Republic,AD,2012,141592
Actual,Czech Republic,I,2012,5554
Actual,Czech Republic,O,2012,532269
Actual,Czech Republic,T,2012,679415
Actual,DK-SE FAB,AD,2012,470394
Actual,DK-SE FAB,I,2012,213749
Actual,DK-SE FAB,O,2012,293521
Actual,DK-SE FAB,T,2012,977664
Actual,Danube FAB,AD,2012,169240
Actual,Danube FAB,I,2012,26872
Actual,Danube FAB,O,2012,550305
Actual,Danube FAB,T,2012,746417
Actual,Denmark,AD,2012,269468
Actual,Denmark,I,2012,39931
Actual,Denmark,O,2012,295101
Actual,Denmark,T,2012,604500
Actual,ECAC,AD,2012,1813322
Actual,ECAC,I,2012,7751287
Actual,ECAC,O,2012,144854
Actual,ECAC,T,2012,9709463
Actual,ESRA08,AD,2012,1915852
Actual,ESRA08,I,2012,7513583
Actual,ESRA08,O,2012,118968
Actual,ESRA08,T,2012,9548403
Actual,Estonia,AD,2012,43993
Actual,Estonia,I,2012,3198
Actual,Estonia,O,2012,141721
